iter	Passed	Remaining
0	2	269
1	4	239
2	7	226
3	9	218
4	11	212
5	13	207
6	15	209
7	17	206
8	20	202
9	22	198
10	24	195
11	26	193
12	28	190
13	30	186
14	32	182
15	33	178
16	35	174
17	37	171
18	39	167
19	41	164
20	42	161
21	44	159
22	46	156
23	48	153
24	50	150
25	51	147
26	53	145
27	55	142
28	57	140
29	59	138
30	61	135
31	62	133
32	64	131
33	66	128
34	68	126
35	70	124
36	71	122
37	73	120
38	75	117
39	77	115
40	78	113
41	80	111
42	82	109
43	83	106
44	85	104
45	87	102
46	89	100
47	91	98
48	92	96
49	94	94
50	96	92
51	98	90
52	100	88
53	102	86
54	103	85
55	105	83
56	107	81
57	109	79
58	111	77
59	112	75
60	114	73
61	116	71
62	118	69
63	120	67
64	122	66
65	124	64
66	126	62
67	128	60
68	130	58
69	132	56
70	134	54
71	136	53
72	138	51
73	140	49
74	141	47
75	143	45
76	145	43
77	147	41
78	148	39
79	150	37
80	152	35
81	153	33
82	155	31
83	157	29
84	159	28
85	160	26
86	162	24
87	164	22
88	166	20
89	167	18
90	169	16
91	171	14
92	173	13
93	174	11
94	176	9
95	178	7
96	180	5
97	182	3
98	183	1
99	185	0
